metamodel_api_key,api_key,id,parent_object_id,label,namespace,created_at
layoutComponentConfig,accountGroupBy,3600437742321158,650,分类,,1682648462000
layoutComponentConfig,accountGroupBy,4231616538203079,532,分类,,1773042000000
layoutComponentConfig,accountName,11100136300034,1363,企业名称,,1758077038982
layoutComponentConfig,accountName,3600435722747529,530,账户名称,,1682648462000
layoutComponentConfig,accountObjectType,3321442374090184,531,,,1708664400000
layoutComponentConfig,accountObjectType,3600435722747533,530,账户对象类型,,1682648462000
layoutComponentConfig,accountType,2034610895290413,853,客户类型,,1554344585037
layoutComponentConfig,accountType,3321442374090180,531,,,1708664400000
layoutComponentConfig,activityTestament,3927438444879454,1305,活动举证,,1736847047000
layoutComponentConfig,activityTestament,3927438444879459,1298,活动举证,,1736847047000
layoutComponentConfig,activityType,3927438444879434,1292,活动类型,,1736847047000
layoutComponentConfig,activityType,3927438444879441,1293,活动类型,,1736847047000
layoutComponentConfig,activityType,3927438444879449,1305,活动类型,,1736847047000
layoutComponentConfig,activityType,3927438444879455,1298,活动类型,,1736847047000
layoutComponentConfig,address,2034610895290696,1015,签到地址,,1554344585037
layoutComponentConfig,address,3627368893275733,1329,地址,,1682648462000
layoutComponentConfig,address,3686555562196437,1322,收货地址,,1682648462000
layoutComponentConfig,advanceRemind,2034610895290564,893,提醒时间,,1554344585037
layoutComponentConfig,advanceRemind,2034610895290660,1009,提前提醒时长,,1554344585037
layoutComponentConfig,alternativeName,2034610895290391,853,别名,,1554344585037
layoutComponentConfig,alternativeName,2034610895290705,1016,备注名,,1554344585037
layoutComponentConfig,appId,2034610895290721,1017,appId,,1554344585037
layoutComponentConfig,appId,2064363768349609,791,小程序id,,1554344585037
layoutComponentConfig,applyAmount,3927438444879447,1293,申请金额,,1736847047000
layoutComponentConfig,applyAmount,3927438444879461,1298,申请金额,,1736847047000
layoutComponentConfig,appointment_851,2472040091139665,851,预约,system,1577085018730
layoutComponentConfig,appointment_851,2472040091139666,851,问卷表单,system,1577085018730
layoutComponentConfig,approvalRelyOn,2034610895290528,891,审批依据,,1554344585037
layoutComponentConfig,approvalRelyOn,2034610895290542,892,审批依据,,1554344585037
layoutComponentConfig,approvalResult,2034610895290525,891,审核说明,,1554344585037
layoutComponentConfig,approvalResult,2034610895290541,892,审核说明,,1554344585037
layoutComponentConfig,attributeValuesGroup_-11720,4135370538554351,408,属性值组合,,1767840276000
layoutComponentConfig,attributeValuesGroup_-11720,4146380555785163,410,属性值组合,,1767840276000
layoutComponentConfig,avatar,2034610895290452,854,头像,,1554344585037
layoutComponentConfig,avatar,2034610895290712,1016,头像,,1554344585037
layoutComponentConfig,balance,3600435722747520,530,账户余额,,1682648462000
layoutComponentConfig,balance,3600437742321152,650,账户余额,,1682648462000
layoutComponentConfig,bedCount,2034610895290395,853,床位数,,1554344585037
layoutComponentConfig,bedCount,2034610895290428,854,负责床位数,,1554344585037
layoutComponentConfig,beginTime,3927438444879435,1292,开始时间,,1736847047000
layoutComponentConfig,beginTime,3927438444879443,1293,开始时间,,1736847047000
layoutComponentConfig,birthday,2034610895290422,854,生日,,1554344585037
layoutComponentConfig,birthday,2034610895290702,1016,出生年月,,1554344585037
layoutComponentConfig,bookFquantity,3587495065326504,1324,库存数量,,1728367998245
layoutComponentConfig,bookFquantity,3756046881291788,1002,账面数量,,1682648462000
layoutComponentConfig,callPurposes,2034610895290533,891,拜访目的,,1554344585037
layoutComponentConfig,callPurposes,2034610895290557,892,拜访目的,,1554344585037
layoutComponentConfig,callStatus,2034610895290522,891,拜访状态,,1554344585037
layoutComponentConfig,callStatus,2034610895290536,892,拜访状态,,1554344585037
layoutComponentConfig,city,2034610895290494,860,市,,1554344585037
layoutComponentConfig,city,2034610895290715,1017,城市,,1554344585037
layoutComponentConfig,coachPurpose,2034610895290574,893,辅导目标,,1554344585037
layoutComponentConfig,coachPurpose,2034610895290623,1006,辅导目标,,1554344585037
layoutComponentConfig,coachPurpose,2034610895290628,1007,辅导目标,,1554344585037
layoutComponentConfig,code,2034610895290389,853,编码,,1554344585037
